meter,mode,nps,length,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,left,right,all,stream_percentage,max_stream_length,jack_percentage,crossover_percentage
13,dance-double,5.411717734900556,4.707663595422132,4.515680169394213,3.420317209390193,3.0069793095109163,1.4919942855211235,1.80179910940781,2.5283398619409354,3.1656813947053104,5.7714858610739626,0.5332683346415369,0.5462994039279429,0.3175069050970587,91.70854271356784,24,0.0,27.889447236180903
5,dance-single,2.4881631104252797,4.55538102298545,3.817450272048788,3.4483975863406537,3.2021549574066324,3.9897296321639275,,,,,1.6712638807004738,1.5810831041448732,0.6901105039127011,0.0,0,0.0,61.261261261261254
3,dance-single,1.4197127244196748,4.707446951773006,6.868158145442032,9.67325749189814,5.795307861658397,6.530426386873755,,,,,3.7397658253016997,3.014569756532503,1.3669692932304425,0.0,0,0.0,59.09090909090909
17,dance-single,9.384611581665187,4.788391338024882,0.8580709474304675,0.8544428612957463,0.9049145604946265,0.9060907369804589,,,,,0.41956905125775223,0.44028216979680523,0.21012213682385986,97.71341463414635,152,0.0,63.109756097560975
3,dance-single,1.7275007792475523,4.6978769799223015,5.36246147651258,6.457152165767804,5.993033445322018,4.781093846889118,,,,,3.0570519718358193,2.942371502135409,1.3331617696289382,0.0,0,0.0,55.91397849462365
15,dance-single,6.440360581999455,4.744940823977617,1.1517207584713647,1.138763183586442,1.0323591397244152,1.0574783683161815,,,,,0.5454085915939481,0.5051876003187623,0.25858516300157547,91.15913555992141,17,0.0,57.95677799607073
6,dance-single,2.110836671837417,4.774364286874545,3.8551191442937642,4.129082145429022,4.30395659997577,3.739507553242886,,,,,1.8153582650185829,1.7982576653225144,0.8301201398291633,0.0,0,0.0,63.90977443609023
16,dance-double,7.216598166775817,4.736198448394496,3.4981054377344907,3.046393201395146,1.9148440965557296,1.027868295155379,1.07475354332314,1.6299543396207257,2.5959887703445497,3.441711723074701,0.3976912587309946,0.3851150590517515,0.22818895510796222,90.4201680672269,46,0.0,27.899159663865547
13,dance-single,5.649802625341135,4.559712463063308,1.3689844088469607,1.179153665488281,1.0971331823894102,1.2736550204534176,,,,,0.6323883449175163,0.5904520418920439,0.2768317655638064,98.40848806366049,55,0.0,66.57824933687002
15,dance-double,7.588123815096604,4.476177051303719,2.9468424336321153,1.7178563457826792,1.5064198571624028,1.1505258951257598,1.0340309636828762,1.4435932576161807,2.135325600319839,2.0770370729200787,0.3396526489690629,0.31529466938205924,0.21964809985844524,96.23893805309734,86,0.22123893805309736,23.23008849557522
